FullName,ShortName
"In your estimation, what is the distribution of opinion across your discipline about sharing study materials? In other words, what percentage of researchers fall into each opinion category listed below from Very much against sharing materials to very much in favor of sharing materials  (must equal 100)? - In favor",others_opinion_use_share_materials_infavor
"In your estimation, what is the distribution of opinion across your discipline about sharing study materials? In other words, what percentage of researchers fall into each opinion category listed below from Very much against sharing materials to very much in favor of sharing materials  (must equal 100)? - Very much in favor",others_opinion_use_share_materials_vmuchinfavor
"Please rank the potential barriers to engaging open science practices, with the first item being the greatest barrier. - Lack of knowledge of open science practices",barrier_knowledge_os_practices
"Please rank the potential barriers to engaging open science practices, with the first item being the greatest barrier. - Too time consuming/lack of support",barrier_time_consuming_support
"Please rank the potential barriers to engaging open science practices, with the first item being the greatest barrier. - Researchers do not want to share their ideas/data",barrier_researchers_no_share
"Please rank the potential barriers to engaging open science practices, with the first item being the greatest barrier. - Lack of knowledge of suitable registries",barrier_knowledge_registries
"Please rank the potential barriers to engaging open science practices, with the first item being the greatest barrier. - It does not seem relevant ",barrier_not_relevant
"Please rank the potential barriers to engaging open science practices, with the first item being the greatest barrier. - Opposition from collaborators ",barrier_collaborator_opposition
"Please rank the potential barriers to engaging open science practices, with the first item being the greatest barrier. - Lack of direct benefit to the researcher",barrier_no_benefit
Which of the following barriers have you experienced? Check all that apply.,barriers_experienced
"Please rank the opportunities to increase knowledge of open science practices, with the first item being the most impactful opportunity. - Including training in graduate programs",increase_knowledge_include_grad_training
"Please rank the opportunities to increase knowledge of open science practices, with the first item being the most impactful opportunity. - Increasing support from superiors",increase_knowledge_support_superiors
"Please rank the opportunities to increase knowledge of open science practices, with the first item being the most impactful opportunity. - Training via workshops",increase_knowledge_workshops
"Please rank the opportunities to increase knowledge of open science practices, with the first item being the most impactful opportunity. - Training via webinars",increase_knowledge_webinars
"Please rank the opportunities to increase knowledge of open science practices, with the first item being the most impactful opportunity. - Training via article tutorials",increase_knowledge_article_tutorials
"Please rank the opportunities to increase knowledge of open science practices, with the first item being the most impactful opportunity. - Access to resources (e.g., suitable registries)",increase_knowledge_resource_access
"Please rank the ways to increase use of open science practices, with the first item being the most impactful way. - Including training in graduate programs",rank_impact_include_grad_training
"Please rank the ways to increase use of open science practices, with the first item being the most impactful way. - Increasing support from superiors",rank_impact_support_superiors
"Please rank the ways to increase use of open science practices, with the first item being the most impactful way. - Training via workshops",rank_impact_workshops
"Please rank the ways to increase use of open science practices, with the first item being the most impactful way. - Training via webinars",rank_impact_webinars
"Please rank the ways to increase use of open science practices, with the first item being the most impactful way. - Training via article tutorials",rank_impact_article_tutorials
"Please rank the ways to increase use of open science practices, with the first item being the most impactful way. - Access to resources (e.g., suitable registries)",rank_impact_resource_access
"From which sources have you learned about preprints, open data, and/or preregistration? Check all that apply. - Selected Choice",sources_you_learned_from
"From which sources have you learned about preprints, open data, and/or preregistration? Check all that apply. - Other (explain below) - Text",sources_you_learned_from_other
"How would you like to learn more about preprints, open data, and preregistration? Check all that apply. - Selected Choice",how_like_learn_more
"How would you like to learn more about preprints, open data, and preregistration? Check all that apply. - Other (explain below) - Text",how_like_learn_more_other
"Please rate your agreement with the following statement:


I plan to _____ within the next two years. - Post a preprint",plan_to_post_preprint
"Please rate your agreement with the following statement:


I plan to _____ within the next two years. - Read or download a preprint online",plan_to_read_preprint
"Please rate your agreement with the following statement:


I plan to _____ within the next two years. - Make my data open",plan_make_data_open
"Please rate your agreement with the following statement:


I plan to _____ within the next two years. - Access open data online",plan_access_open_data
"Please rate your agreement with the following statement:


I plan to _____ within the next two years. - Preregister a project",plan_to_prereg
"Please rate your agreement with the following statement:


I plan to _____ within the next two years. - Read a preregistration online",plan_read_prereg
How do you identify yourself on the basis of race/ethnicity? Check all that apply. - Selected Choice,race
How do you identify yourself on the basis of race/ethnicity? Check all that apply. - Prefer to self-describe: - Text,race_other
How do you identify yourself on the basis of gender? - Selected Choice,gender
How do you identify yourself on the basis of gender? - Prefer to self-describe: - Text,gender_other
"As a behavior analyst, how do you identify? - Selected Choice",ba_identify
"As a behavior analyst, how do you identify? - Other (please explain) - Text",ba_identify_other
Which best describes your primary work setting? - Selected Choice,primary_work_setting
Which best describes your primary work setting? - Other (please explain) - Text,primary_work_setting_other
What is your current position? - Selected Choice,current_position
What is your current position? - Other (please explain) - Text,current_position_other
How many years have you been at your current position? Please enter a number between 0-100.,years_current_position
Approximately how many publications have you authored or co-authored? Please enter a number between 0-1000.,pubs_authored
Which type of research do you most often conduct? - Selected Choice,research_conducted
Which type of research do you most often conduct? - Other (Please explain) - Text,research_conducted_other
"If you would like to be entered into a drawing to receive one of ten $10 Visa gift cards, please enter your name and email in the box below.",include_in_drawing
